ID,Category,Synomyms,Related synonyms,Name,ExactSynonym and label identical,description jaccard diff,Legacy Description,description details comment,Claude opus Aristotelian definition,Curated Claude opus Aristotelian definition,Reference (DOI),Layers comment,layer parts,Parent
AIO:ReLUFunction,AIO:FunctionSubset|AIO:ActivationFunctionSubset,Rectified Linear Unit|ReLU,,ReLU Function,FALSE,0.50,"The ReLU activation function returns: max(x, 0), the element-wise maximum of 0 and the input tensor.","The ReLU activation function returns: max(x, 0), the element-wise maximum of 0 and the input tensor.",An activation function that returns max(x 0) the element-wise maximum of 0 and the input tensor.,A mathematical function that returns max(x 0) the element-wise maximum of 0 and the input tensor.,https://www.tensorflow.org/api_docs/python/tf/keras/activations/relu,,,AIO:MathematicalFunction
AIO:LazyInstanceNorm1DLayer,AIO:LayerSubset|AIO:InstanceNormalizationLayerSubset,LazyInstanceNorm1D|LazyInstanceNorm1D|LazyInstanceNorm1D,,LazyInstanceNorm1D Layer,FALSE,0.81,A torch.nn.InstanceNorm1D module with lazy initialization of the num_features argument of the InstanceNorm1D that is inferred from the input.size(1).,A torch.nn.InstanceNorm1D module with lazy initialization of the num_features argument of the InstanceNorm1D that is inferred from the input.size(1).,An instance normalization layer that lazily initializes the num_features argument from the input size for 1D data.,A normalization layer that lazily initializes the num_features argument from the input size for 1D data.,https://pytorch.org/docs/stable/nn.html#normalization-layers,,,AIO:NormalizationLayer
AIO:LazyInstanceNorm2DLayer,AIO:LayerSubset|AIO:InstanceNormalizationLayerSubset,LazyInstanceNorm2D|LazyInstanceNorm2D|LazyInstanceNorm2D,,LazyInstanceNorm2D Layer,FALSE,0.81,A torch.nn.InstanceNorm2D module with lazy initialization of the num_features argument of the InstanceNorm2D that is inferred from the input.size(1).,A torch.nn.InstanceNorm2D module with lazy initialization of the num_features argument of the InstanceNorm2D that is inferred from the input.size(1).,An instance normalization layer that lazily initializes the num_features argument from the input size for 2D data.,A normalization layer that lazily initializes the num_features argument from the input size for 2D data.,https://pytorch.org/docs/stable/nn.html#normalization-layers,,,AIO:NormalizationLayer
AIO:LazyInstanceNorm3DLayer,AIO:LayerSubset|AIO:InstanceNormalizationLayerSubset,LazyInstanceNorm3D|LazyInstanceNorm3D|LazyInstanceNorm3D,,LazyInstanceNorm3D Layer,FALSE,0.81,A torch.nn.InstanceNorm3D module with lazy initialization of the num_features argument of the InstanceNorm3D that is inferred from the input.size(1).,A torch.nn.InstanceNorm3D module with lazy initialization of the num_features argument of the InstanceNorm3D that is inferred from the input.size(1).,An instance normalization layer that lazily initializes the num_features argument from the input size for 3D data.,A normalization that lazily initializes the num_features argument from the input size for 3D data.,https://pytorch.org/docs/stable/nn.html#normalization-layers,,,AIO:NormalizationLayer
AIO:BatchNorm1DLayer,AIO:LayerSubset,BatchNorm1D|BatchNorm1D|BatchNorm1D,,BatchNorm1D Layer,FALSE,0.78,Applies Batch Normalization over a 2D or 3D input as described in the paper Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift .,Applies Batch Normalization over a 2D or 3D input as described in the paper Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift .,A batch normalization layer that applies Batch Normalization over a 2D or 3D input.,A batch normalization layer that applies Batch Normalization over a 2D or 3D input.,https://pytorch.org/docs/stable/nn.html#normalization-layers,,,AIO:BatchNormalizationLayer
AIO:BatchNorm2DLayer,AIO:LayerSubset,BatchNorm2D|BatchNorm2D|BatchNorm2D,,BatchNorm2D Layer,FALSE,0.87,Applies Batch Normalization over a 4D input (a mini-batch of 2D inputs with additional channel dimension) as described in the paper Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift .,Applies Batch Normalization over a 4D input (a mini-batch of 2D inputs with additional channel dimension) as described in the paper Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift .,A batch normalization layer that applies Batch Normalization over a 4D input.,A batch normalization layer that applies Batch Normalization over a 4D input.,https://pytorch.org/docs/stable/nn.html#normalization-layers,,,AIO:BatchNormalizationLayer
AIO:BatchNorm3DLayer,AIO:LayerSubset,BatchNorm3D|BatchNorm3D|BatchNorm3D,,BatchNorm3D Layer,FALSE,0.87,Applies Batch Normalization over a 5D input (a mini-batch of 3D inputs with additional channel dimension) as described in the paper Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift .,Applies Batch Normalization over a 5D input (a mini-batch of 3D inputs with additional channel dimension) as described in the paper Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift .,A batch normalization layer that applies Batch Normalization over a 5D input.,A batch normalization layer that applies Batch Normalization over a 5D input.,https://pytorch.org/docs/stable/nn.html#normalization-layers,,,AIO:BatchNormalizationLayer
AIO:SyncBatchNormLayer,AIO:LayerSubset,SyncBatchNorm|SyncBatchNorm,,SyncBatchNorm Layer,FALSE,0.95,Applies Batch Normalization over a N-Dimensional input (a mini-batch of [N-2]D inputs with additional channel dimension) as described in the paper Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift .,Applies Batch Normalization over a N-Dimensional input (a mini-batch of [N-2]D inputs with additional channel dimension) as described in the paper Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift .,A batch normalization layer that applies synchronous Batch Normalization across multiple devices.,A batch normalization layer that applies synchronous Batch Normalization across multiple devices.,https://pytorch.org/docs/stable/nn.html#normalization-layers,,,AIO:BatchNormalizationLayer
AIO:LazyBatchNorm1DLayer,AIO:LayerSubset,LazyBatchNorm1D|LazyBatchNorm1D|LazyBatchNorm1D,,LazyBatchNorm1D Layer,FALSE,0.77,A torch.nn.BatchNorm1D module with lazy initialization of the num_features argument of the BatchNorm1D that is inferred from the input.size(1).,A torch.nn.BatchNorm1D module with lazy initialization of the num_features argument of the BatchNorm1D that is inferred from the input.size(1).,A batch normalization layer that lazily initializes the num_features argument from the input size for 1D data.,A batch normalization layer that lazily initializes the num_features argument from the input size for 1D data.,https://pytorch.org/docs/stable/nn.html#normalization-layers,,,AIO:BatchNormalizationLayer
AIO:LazyBatchNorm2DLayer,AIO:LayerSubset,LazyBatchNorm2D|LazyBatchNorm2D|LazyBatchNorm2D,,LazyBatchNorm2D Layer,FALSE,0.77,A torch.nn.BatchNorm2D module with lazy initialization of the num_features argument of the BatchNorm2D that is inferred from the input.size(1).,A torch.nn.BatchNorm2D module with lazy initialization of the num_features argument of the BatchNorm2D that is inferred from the input.size(1).,A batch normalization layer that lazily initializes the num_features argument from the input size for 2D data.,A batch normalization layer that lazily initializes the num_features argument from the input size for 2D data.,https://pytorch.org/docs/stable/nn.html#normalization-layers,,,AIO:BatchNormalizationLayer
AIO:LazyBatchNorm3DLayer,AIO:LayerSubset,LazyBatchNorm3D|LazyBatchNorm3D|LazyBatchNorm3D,,LazyBatchNorm3D Layer,FALSE,0.77,A torch.nn.BatchNorm3D module with lazy initialization of the num_features argument of the BatchNorm3D that is inferred from the input.size(1).,A torch.nn.BatchNorm3D module with lazy initialization of the num_features argument of the BatchNorm3D that is inferred from the input.size(1).,A batch normalization layer that lazily initializes the num_features argument from the input size for 3D data.,A batch normalization layer that lazily initializes the num_features argument from the input size for 3D data.,https://pytorch.org/docs/stable/nn.html#normalization-layers,,,AIO:BatchNormalizationLayer
AIO:ComputationalBias,AIO:BiasSubset,Statistical Bias,,Computational Bias,FALSE,0.29,,,A bias caused by differences between results and facts in the process of data analysis (including the source of data the estimator chose) and analysis methods.,A bias caused by differences between results and facts in the process of data analysis (including the source of data the estimator chose) and analysis methods.,https://doi.org/10.6028/NIST.SP.1270,,,AIO:Bias
AIO:IndividualBias,AIO:BiasSubset,,,Individual Bias,FALSE,0.32,"A persistent point of view or limited list of such points of view applied by an individual, such as ""parent,"" ""academic,"" or ""professional.""",,A persistent point of view or limited list of such points of view applied by an individual.,"A bias characterized by a persistent point of view or limited list of such points of view, applied by an individual.",https://develop.consumerium.org/wiki/Individual_bias,,,AIO:Bias
AIO:SocietalBias,AIO:BiasSubset,,,Societal Bias,FALSE,0.33,"Bias characterized by being for or against groups or individuals based on social identities, demographic factors, or immutable physical characteristics, often manifesting as stereotypes.",,A bias characterized by being for or against groups or individuals based on social identities demographic factors or immutable physical characteristics often manifesting as stereotypes.,A systemic bias characterized by being for or against groups or individuals based on social identities demographic factors or immutable physical characteristics often manifesting as stereotypes.,https://doi.org/10.6028/NIST.SP.1270,,,AIO:SystemicBias
AIO:HistoricalBias,AIO:BiasSubset,,,Historical Bias,FALSE,0.69,"Long-standing biases encoded in society over time, distinct from biases in historical description or the interpretation of history, such as viewing the larger world from a Western or European perspective.","Long-standing biases encoded in society over time, distinct from biases in historical description or the interpretation of history, such as viewing the larger world from a Western or European perspective.",A bias characterized by long-standing biases encoded in society over time distinct from biases in historical description or interpretation.,A bias characterized by long-standing biases encoded in society over time distinct from biases in historical description or interpretation.,https://doi.org/10.6028/NIST.SP.1270,,,AIO:Bias
AIO:SunkCostFallacyBias,AIO:BiasSubset,Sunk Cost Fallacy,,Sunk Cost Fallacy Bias,FALSE,0.40,"The tendency to continue an endeavor due to previously invested resources, despite costs outweighing benefits.","The tendency to continue an endeavor due to previously invested resources, despite costs outweighing benefits.",A bias characterized by the tendency to continue an endeavor due to previously invested resources despite costs outweighing benefits.,A bias characterized by the tendency to continue an endeavor due to previously invested resources despite costs outweighing benefits.,https://doi.org/10.6028/NIST.SP.1270,,,AIO:Bias
AIO:InstitutionalBias,AIO:BiasSubset,,,Institutional Bias,FALSE,0.43,"Bias exhibited at the level of entire institutions, where practices or norms result in the favoring or disadvantaging of certain social groups, such as institutional racism or sexism.","Bias exhibited at the level of entire institutions, where practices or norms result in the favoring or disadvantaging of certain social groups, such as institutional racism or sexism.",A bias exhibited at the level of entire institutions where practices or norms result in the favoring or disadvantaging of certain social groups.,A systemic bias exhibited at the level of entire institutions where practices or norms result in the favoring or disadvantaging of certain social groups.,https://doi.org/10.6028/NIST.SP.1270,,,AIO:SystemicBias
AIO:HumanBias,AIO:BiasSubset,,,Human Bias,FALSE,0.39,"Systematic errors in human thought based on heuristic principles, leading to simplified judgmental operations.",,A systematic error in human thought based on heuristic principles leading to simplified judgmental operations.,A bias in human thought based on heuristic principles leading to simplified judgmental operations.,https://doi.org/10.6028/NIST.SP.1270,,,AIO:Bias
AIO:SystemicBias,AIO:BiasSubset,,,Systemic Bias,FALSE,0.15,Biases resulting from procedures and practices of particular institutions that operate in ways which result in certain social groups being advantaged or favored and others being disadvantaged or devalued.,,A bias resulting from procedures and practices of institutions that operate in ways which result in certain social groups being advantaged or favored and others being disadvantaged or devalued.,A bias resulting from procedures and practices of systems that operate in ways which result in certain social groups being advantaged or favored and others being disadvantaged or devalued.,https://doi.org/10.6028/NIST.SP.1270,,,AIO:Bias
AIO:SupervisedBiclustering,AIO:MachineLearningSubset,Supervised Block Clustering|Supervised Co-clustering|Supervised Two-mode Clustering|Supervised Two-way Clustering|Supervised Joint Clustering,,Supervised Biclustering,FALSE,0.36,"Methods that simultaneously cluster the rows and columns of a labeled matrix, considering data labels to enhance cluster coherence.",,A biclustering task focused on methods that simultaneously cluster the rows and columns of a labeled matrix considering data labels to enhance cluster coherence.,A biclustering task focused on methods that simultaneously cluster the rows and columns of a labeled matrix considering data labels to enhance cluster coherence.,https://en.wikipedia.org/wiki/Biclustering,,,AIO:Biclustering
AIO:UnsupervisedBiclustering,AIO:MachineLearningSubset,Unsupervised Block Clustering|Unsupervised Co-clustering|Unsupervised Two-mode Clustering|Unsupervised Two-way Clustering|Unsupervised Joint Clustering,,Unsupervised Biclustering,FALSE,0.28,Methods that simultaneously cluster the rows and columns of an unlabeled input matrix to identify submatrices with coherent patterns.,,A biclustering task focused on methods that simultaneously cluster the rows and columns of an unlabeled input matrix to identify submatrices with coherent patterns.,A biclustering task focused on methods that simultaneously cluster the rows and columns of an unlabeled input matrix to identify submatrices with coherent patterns.,https://en.wikipedia.org/wiki/Biclustering,,,AIO:Biclustering
AIO:RestrictedBoltzmannMachine,AIO:NetworkSubset,RBM,,Restricted Boltzmann Machine,FALSE,0.35,A restricted Boltzmann machine (RBM) is a generative stochastic neural network that learns the probability distribution of its input data.,,A Boltzmann machine network that learns the probability distribution of its input data.,A Boltzmann machine network that learns the probability distribution of its input data.,https://en.wikipedia.org/wiki/Restricted_Boltzmann_machine,"Layers: Backfed Input, Probabilistic Hidden",AIO:BackfedInputLayer|AIO:ProbabilisticHiddenLayer,AIO:BoltzmannMachineNetwork
AIO:CategoryEncodingLayer,AIO:LayerSubset,,,CategoryEncoding Layer,FALSE,0.78,"A preprocessing layer which encodes integer features. This layer provides options for condensing data into a categorical encoding when the total number of tokens are known in advance. It accepts integer values as inputs, and it outputs a dense or sparse representation of those inputs. For integer inputs where the total number of tokens is not known, use tf.keras.layers.IntegerLookup instead.","A preprocessing layer which encodes integer features. This layer provides options for condensing data into a categorical encoding when the total number of tokens are known in advance. It accepts integer values as inputs, and it outputs a dense or sparse representation of those inputs. For integer inputs where the total number of tokens is not known, use tf.keras.layers.IntegerLookup instead.",A categorical features preprocessing layer that encodes integer features providing options for condensing data into a categorical encoding.,A categorical features preprocessing layer that encodes integer features providing options for condensing data into a categorical encoding.,https://www.tensorflow.org/api_docs/python/tf/keras/layers/CategoryEncoding,,,AIO:CategoricalFeaturesPreprocessingLayer
AIO:IntegerLookupLayer,AIO:LayerSubset,,,IntegerLookup Layer,FALSE,0.25,A preprocessing layer which maps integer features to contiguous ranges.,,A categorical features preprocessing layer that maps integer features to contiguous ranges.,A categorical features preprocessing layer that maps integer features to contiguous ranges.,https://www.tensorflow.org/api_docs/python/tf/keras/layers/IntegerLookup,,,AIO:CategoricalFeaturesPreprocessingLayer
AIO:StringLookupLayer,AIO:LayerSubset,,,StringLookup Layer,FALSE,0.25,A preprocessing layer which maps string features to integer indices.,,A categorical features preprocessing layer that maps string features to integer indices.,A categorical features preprocessing layer that maps string features to integer indices.,https://www.tensorflow.org/api_docs/python/tf/keras/layers/StringLookup,,,AIO:CategoricalFeaturesPreprocessingLayer
AIO:HashingLayer,AIO:LayerSubset,,,Hashing Layer,FALSE,0.89,"A preprocessing layer which hashes and bins categorical features. This layer transforms categorical inputs to hashed output. It element-wise converts a ints or strings to ints in a fixed range. The stable hash function uses tensorflow::ops::Fingerprint to produce the same output consistently across all platforms. This layer uses FarmHash64 by default, which provides a consistent hashed output across different platforms and is stable across invocations, regardless of device and context, by mixing the input bits thoroughly. If you want to obfuscate the hashed output, you can also pass a random salt argument in the constructor. In that case, the layer will use the SipHash64 hash function, with the salt value serving as additional input to the hash function.","A preprocessing layer which hashes and bins categorical features. This layer transforms categorical inputs to hashed output. It element-wise converts a ints or strings to ints in a fixed range. The stable hash function uses tensorflow::ops::Fingerprint to produce the same output consistently across all platforms. This layer uses FarmHash64 by default, which provides a consistent hashed output across different platforms and is stable across invocations, regardless of device and context, by mixing the input bits thoroughly. If you want to obfuscate the hashed output, you can also pass a random salt argument in the constructor. In that case, the layer will use the SipHash64 hash function, with the salt value serving as additional input to the hash function.",A categorical features preprocessing layer which hashes and bins categorical features.,A categorical features preprocessing layer which hashes and bins categorical features.,https://www.tensorflow.org/api_docs/python/tf/keras/layers/Hashing,,,AIO:CategoricalFeaturesPreprocessingLayer
AIO:KnearestNeighborClassificationAlgorithm,AIO:MachineLearningSubset,KNN Classification|K-NN Classification,,K-nearest Neighbor Classification Algorithm,FALSE,#N/A,,,"A classification and clustering that classifies objects by a plurality vote of its neighbors, assigning each object to the class most common among its k nearest neighbors.","A classification and clustering that classifies objects by a plurality vote of its neighbors, assigning each object to the class most common among its k nearest neighbors.",https://en.wikipedia.org/wiki/K-nearest_neighbors_algorithm,,,AIO:Clustering
AIO:BinaryClassification,AIO:MachineLearningSubset,,,Binary Classification,FALSE,0.39,Methods that classify elements into two groups based on a classification rule.,,A machine learning task focused on methods that classify elements into two groups based on a classification rule.,A classification focused on methods that classify elements into two groups based on a classification rule.,https://en.wikipedia.org/wiki/Binary_classification,,,AIO:Classification
AIO:MulticlassClassification,AIO:MachineLearningSubset,Multinomial Classification,,Multiclass Classification,FALSE,0.44,Methods that classify instances into one of three or more classes.,Methods that classify instances into one of three or more classes.,A machine learning task focused on methods that classify instances into one of three or more classes.,A classification focused on methods that classify instances into one of three or more classes.,https://en.wikipedia.org/wiki/Multiclass_classification,,,AIO:Classification
AIO:HierarchicalClassification,AIO:MachineLearningSubset,,,Hierarchical Classification,FALSE,0.50,Methods that group things according to a hierarchy.,Methods that group things according to a hierarchy.,A classification task focused on methods that group things according to a hierarchy.,A classification focused on methods that group things according to a hierarchy.,https://en.wikipedia.org/wiki/Hierarchical_classification,,,AIO:Classification
AIO:DecisionTree,AIO:MachineLearningSubset,,,Decision Tree,FALSE,0.41,"A decision support tool that uses a tree-like model of decisions and their possible consequences, including chance event outcomes, resource costs, and utilities.","A decision support tool that uses a tree-like model of decisions and their possible consequences, including chance event outcomes, resource costs, and utilities.",A machine learning model that uses a tree-like model of decisions and their possible consequences including chance event outcomes resource costs and utilities.,A classification that uses a tree-like model of decisions and their possible consequences including chance event outcomes resource costs and utilities.,https://en.wikipedia.org/wiki/Decision_tree,,,AIO:Classification
AIO:UnsupervisedClustering,AIO:MachineLearningSubset,Unsupervised Cluster Analysis,,Unsupervised Clustering,FALSE,0.26,Methods that group a set of unlabeled objects such that objects in the same group are more similar to each other than to those in other groups.,,A clustering task focused on methods that group a set of unlabeled objects such that objects in the same group are more similar to each other than to those in other groups.,A clustering focused on methods that group a set of unlabeled objects such that objects in the same group are more similar to each other than to those in other groups.,https://en.wikipedia.org/wiki/Cluster_analysis,,,AIO:Clustering
AIO:SupervisedClustering,AIO:MachineLearningSubset,Supervised Cluster Analysis,,Supervised Clustering,FALSE,0.38,"Methods that group labeled objects such that objects in the same group have similar labels, relative to those in other groups.",,A clustering task focused on methods that group labeled objects such that objects in the same group have similar labels relative to those in other groups.,A clustering focused on methods that group labeled objects such that objects in the same group have similar labels relative to those in other groups.,https://en.wikipedia.org/wiki/Cluster_analysis,,,AIO:Clustering
AIO:HierarchicalClustering,AIO:MachineLearningSubset,HCL,,Hierarchical Clustering,FALSE,0.55,Methods that build a hierarchy of clusters.,Methods that build a hierarchy of clusters.,A clustering method that builds a hierarchy of clusters.,A clustering that builds a hierarchy of clusters.,https://en.wikipedia.org/wiki/Hierarchical_clustering,,,AIO:Clustering
AIO:DunningKrugerEffectBias,AIO:BiasSubset,Dunning-Kruger Effect,,Dunning-Kruger Effect Bias,FALSE,#N/A,,,A cognitive bias in which people with low ability in an area overestimate that ability. Often measured by comparing self-assessment with objective performance.,A cognitive bias in which people with low ability in an area overestimate that ability. Often measured by comparing self-assessment with objective performance.,https://doi.org/10.6028/NIST.SP.1270,,,AIO:CognitiveBias
AIO:UseAndInterpretationBias,AIO:BiasSubset,Interpretive Bias,,Use And Interpretation Bias,FALSE,0.67,"Bias inappropriately analyzing ambiguous stimuli, scenarios, and events.","Bias inappropriately analyzing ambiguous stimuli, scenarios, and events.",A computational bias characterized by inappropriately analyzing ambiguous stimuli scenarios and events.,A computational bias characterized by inappropriately analyzing ambiguous stimuli scenarios and events.,https://doi.org/10.6028/NIST.SP.1270,,,AIO:ComputationalBias
AIO:SelectionAndSamplingBias,AIO:BiasSubset,Selection Bias|Sampling Bias|Selection Effect,,Selection And Sampling Bias,FALSE,0.50,"Bias introduced by non-random selection of individuals, groups, or data, failing to ensure representativeness.","Bias introduced by non-random selection of individuals, groups, or data, failing to ensure representativeness.",A computational bias introduced by non-random selection of individuals groups or data failing to ensure representativeness.,A computational bias introduced by non-random selection of individuals groups or data failing to ensure representativeness.,https://doi.org/10.6028/NIST.SP.1270,,,AIO:ComputationalBias
AIO:ProcessingBias,AIO:BiasSubset,Validation Bias,,Processing Bias,FALSE,0.59,"Judgment modulated by affect, influenced by the level of efficacy and efficiency in information processing; often referred to as aesthetic judgment in cognitive sciences.","Judgment modulated by affect, influenced by the level of efficacy and efficiency in information processing; often referred to as aesthetic judgment in cognitive sciences.",A computational bias resulting from judgment modulated by affect influenced by the level of efficacy and efficiency in information processing.,A computational bias resulting from judgment modulated by affect influenced by the level of efficacy and efficiency in information processing.,https://en.wikipedia.org/wiki/Bias_(statistics),,,AIO:ComputationalBias
AIO:Convolution1DLayer,AIO:LayerSubset,Conv1D Layer|nn.Conv1D|Conv1D|Convolution1D|Convolution1D,,Convolution1D Layer,FALSE,0.33,1D convolution layer (e.g. temporal convolution).,,A layer that implements 1D convolution (e.g. temporal convolution).,A convolutional layer that implements 1D convolution (e.g. temporal convolution).,https://www.tensorflow.org/api_docs/python/tf/keras/layers/Conv1D,,,AIO:ConvolutionalLayer
